# Logfile created on Tue Jan 03 22:13:21 CET 2006 by logger.rb/1.5.2.7
I, [2006-01-03T22:13:21.906624 #26646]  INFO -- : Beginning:
I, [2006-01-03T22:13:21.979126 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.979330 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:21.979488 #26646]  INFO -- :  Empty place: 53,11 contains: .
I, [2006-01-03T22:13:21.979752 #26646]  INFO -- :  Empty place: 46,20 contains: .
I, [2006-01-03T22:13:21.979934 #26646]  INFO -- :  Empty place: 6,17 contains: .
I, [2006-01-03T22:13:21.980166 #26646]  INFO -- :  Empty place: 6,10 contains: .
I, [2006-01-03T22:13:21.980360 #26646]  INFO -- :  Empty place: 38,15 contains: .
I, [2006-01-03T22:13:21.980574 #26646]  INFO -- :  Empty place: 6,13 contains: .
I, [2006-01-03T22:13:21.980914 #26646]  INFO -- :  Empty place: 19,10 contains: .
I, [2006-01-03T22:13:21.981257 #26646]  INFO -- :  Empty place: 38,15 contains: .
I, [2006-01-03T22:13:21.981611 #26646]  INFO -- :  Empty place: 42,12 contains: .
I, [2006-01-03T22:13:21.981796 #26646]  INFO -- :  Empty place: 16,10 contains: .
I, [2006-01-03T22:13:21.981940 #26646]  INFO -- :  Empty place: 26,5 contains: .
I, [2006-01-03T22:13:21.982163 #26646]  INFO -- :  Empty place: 51,20 contains: .
I, [2006-01-03T22:13:21.982341 #26646]  INFO -- :  Empty place: 54,11 contains: .
I, [2006-01-03T22:13:21.982503 #26646]  INFO -- :  Empty place: 38,14 contains: .
I, [2006-01-03T22:13:21.982853 #26646]  INFO -- :  Empty place: 41,7 contains: .
I, [2006-01-03T22:13:21.983046 #26646]  INFO -- :  Empty place: 33,6 contains: .
I, [2006-01-03T22:13:21.983219 #26646]  INFO -- :  Empty place: 23,5 contains: .
I, [2006-01-03T22:13:21.983518 #26646]  INFO -- :  Empty place: 34,15 contains: .
I, [2006-01-03T22:13:21.983707 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:21.983856 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.984017 #26646]  INFO -- :  Empty place: 35,11 contains: .
I, [2006-01-03T22:13:21.984269 #26646]  INFO -- :  Empty place: 19,6 contains: .
I, [2006-01-03T22:13:21.984567 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.984853 #26646]  INFO -- :  Empty place: 16,13 contains: .
I, [2006-01-03T22:13:21.984983 #26646]  INFO -- :  Empty place: 54,8 contains: .
I, [2006-01-03T22:13:21.985276 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.985427 #26646]  INFO -- :  Empty place: 38,17 contains: .
I, [2006-01-03T22:13:21.985571 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:21.985700 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.985894 #26646]  INFO -- :  Empty place: 34,9 contains: .
I, [2006-01-03T22:13:21.986098 #26646]  INFO -- :  Empty place: 35,12 contains: .
I, [2006-01-03T22:13:21.986261 #26646]  INFO -- :  Empty place: 33,7 contains: .
I, [2006-01-03T22:13:21.986461 #26646]  INFO -- :  Empty place: 8,3 contains: .
I, [2006-01-03T22:13:21.986750 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.987037 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.987214 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:21.987369 #26646]  INFO -- :  Empty place: 4,17 contains: .
I, [2006-01-03T22:13:21.987628 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:21.987809 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.988232 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.988428 #26646]  INFO -- :  Empty place: 54,17 contains: .
I, [2006-01-03T22:13:21.988640 #26646]  INFO -- :  Empty place: 53,10 contains: .
I, [2006-01-03T22:13:21.988912 #26646]  INFO -- :  Empty place: 49,8 contains: .
I, [2006-01-03T22:13:21.989096 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.989284 #26646]  INFO -- :  Empty place: 34,15 contains: .
I, [2006-01-03T22:13:21.989464 #26646]  INFO -- :  Empty place: 53,17 contains: .
I, [2006-01-03T22:13:21.989751 #26646]  INFO -- :  Empty place: 12,2 contains: .
I, [2006-01-03T22:13:21.989928 #26646]  INFO -- :  Empty place: 47,20 contains: .
I, [2006-01-03T22:13:21.990220 #26646]  INFO -- :  Empty place: 51,21 contains: .
I, [2006-01-03T22:13:21.990411 #26646]  INFO -- :  Empty place: 14,2 contains: .
I, [2006-01-03T22:13:21.990581 #26646]  INFO -- :  Empty place: 63,13 contains: .
I, [2006-01-03T22:13:21.990895 #26646]  INFO -- :  Empty place: 54,19 contains: .
I, [2006-01-03T22:13:21.991115 #26646]  INFO -- :  Empty place: 20,12 contains: .
I, [2006-01-03T22:13:21.991304 #26646]  INFO -- :  Empty place: 31,14 contains: .
I, [2006-01-03T22:13:21.991502 #26646]  INFO -- :  Empty place: 54,19 contains: .
I, [2006-01-03T22:13:21.991655 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:21.991887 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:21.992058 #26646]  INFO -- :  Empty place: 60,18 contains: .
I, [2006-01-03T22:13:21.992265 #26646]  INFO -- :  Empty place: 37,10 contains: .
I, [2006-01-03T22:13:21.992560 #26646]  INFO -- :  Empty place: 55,17 contains: .
I, [2006-01-03T22:13:21.992744 #26646]  INFO -- :  Empty place: 26,4 contains: .
I, [2006-01-03T22:13:21.992888 #26646]  INFO -- :  Empty place: 53,13 contains: .
I, [2006-01-03T22:13:21.993091 #26646]  INFO -- :  Empty place: 5,7 contains: .
I, [2006-01-03T22:13:21.993274 #26646]  INFO -- :  Empty place: 27,19 contains: .
I, [2006-01-03T22:13:21.993469 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:21.993625 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.993772 #26646]  INFO -- :  Empty place: 17,10 contains: .
I, [2006-01-03T22:13:21.993937 #26646]  INFO -- :  Empty place: 10,2 contains: .
I, [2006-01-03T22:13:21.994074 #26646]  INFO -- :  Empty place: 62,14 contains: .
I, [2006-01-03T22:13:21.994269 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.994487 #26646]  INFO -- :  Empty place: 42,22 contains: .
I, [2006-01-03T22:13:21.994783 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:21.995014 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.995249 #26646]  INFO -- :  Empty place: 14,18 contains: .
I, [2006-01-03T22:13:21.995393 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:21.995519 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:21.995690 #26646]  INFO -- :  Empty place: 14,18 contains: .
I, [2006-01-03T22:13:21.995882 #26646]  INFO -- :  Empty place: 30,18 contains: .
I, [2006-01-03T22:13:21.996097 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:21.996239 #26646]  INFO -- :  Empty place: 8,3 contains: .
I, [2006-01-03T22:13:21.996383 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:21.996552 #26646]  INFO -- :  Empty place: 49,14 contains: .
I, [2006-01-03T22:13:21.996910 #26646]  INFO -- :  Empty place: 38,10 contains: .
I, [2006-01-03T22:13:21.997192 #26646]  INFO -- :  Empty place: 33,15 contains: .
I, [2006-01-03T22:13:21.997353 #26646]  INFO -- :  Empty place: 22,14 contains: .
I, [2006-01-03T22:13:21.997654 #26646]  INFO -- :  Empty place: 20,14 contains: .
I, [2006-01-03T22:13:21.997802 #26646]  INFO -- :  Empty place: 29,10 contains: .
I, [2006-01-03T22:13:21.998090 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:21.998281 #26646]  INFO -- :  Empty place: 31,14 contains: .
I, [2006-01-03T22:13:21.998562 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:21.998740 #26646]  INFO -- :  Empty place: 14,14 contains: .
I, [2006-01-03T22:13:21.998952 #26646]  INFO -- :  Empty place: 7,7 contains: .
I, [2006-01-03T22:13:21.999149 #26646]  INFO -- :  Empty place: 19,6 contains: .
I, [2006-01-03T22:13:21.999295 #26646]  INFO -- :  Empty place: 29,6 contains: .
I, [2006-01-03T22:13:21.999421 #26646]  INFO -- :  Empty place: 54,20 contains: .
I, [2006-01-03T22:13:21.999617 #26646]  INFO -- :  Empty place: 21,14 contains: .
I, [2006-01-03T22:13:21.999811 #26646]  INFO -- :  Empty place: 54,9 contains: .
I, [2006-01-03T22:13:22.000031 #26646]  INFO -- :  Empty place: 27,14 contains: .
I, [2006-01-03T22:13:22.000317 #26646]  INFO -- :  Empty place: 60,17 contains: .
I, [2006-01-03T22:13:22.000611 #26646]  INFO -- :  Empty place: 22,11 contains: .
I, [2006-01-03T22:13:22.000776 #26646]  INFO -- :  Empty place: 51,21 contains: .
I, [2006-01-03T22:13:22.000949 #26646]  INFO -- :  Empty place: 49,8 contains: .
I, [2006-01-03T22:13:22.001151 #26646]  INFO -- :  Empty place: 13,18 contains: .
I, [2006-01-03T22:13:22.001347 #26646]  INFO -- :  Empty place: 54,19 contains: .
I, [2006-01-03T22:13:22.001529 #26646]  INFO -- :  Empty place: 42,11 contains: .
I, [2006-01-03T22:13:22.001746 #26646]  INFO -- :  Empty place: 54,15 contains: .
I, [2006-01-03T22:13:22.001994 #26646]  INFO -- :  Empty place: 54,21 contains: .
I, [2006-01-03T22:13:22.002249 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:22.002412 #26646]  INFO -- :  Empty place: 49,9 contains: .
I, [2006-01-03T22:13:22.002568 #26646]  INFO -- :  Empty place: 19,6 contains: .
I, [2006-01-03T22:13:22.002695 #26646]  INFO -- :  Empty place: 8,17 contains: .
I, [2006-01-03T22:13:22.002920 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:22.003214 #26646]  INFO -- :  Empty place: 49,17 contains: .
I, [2006-01-03T22:13:22.003410 #26646]  INFO -- :  Empty place: 17,10 contains: .
I, [2006-01-03T22:13:22.003696 #26646]  INFO -- :  Empty place: 18,14 contains: .
I, [2006-01-03T22:13:22.003856 #26646]  INFO -- :  Empty place: 6,22 contains: .
I, [2006-01-03T22:13:22.004051 #26646]  INFO -- :  Empty place: 13,7 contains: .
I, [2006-01-03T22:13:22.004194 #26646]  INFO -- :  Empty place: 18,6 contains: .
I, [2006-01-03T22:13:22.004334 #26646]  INFO -- :  Empty place: 35,10 contains: .
I, [2006-01-03T22:13:22.004600 #26646]  INFO -- :  Empty place: 40,5 contains: .
I, [2006-01-03T22:13:22.004924 #26646]  INFO -- :  Empty place: 47,20 contains: .
I, [2006-01-03T22:13:22.005109 #26646]  INFO -- :  Empty place: 15,2 contains: .
I, [2006-01-03T22:13:22.005271 #26646]  INFO -- :  Empty place: 26,2 contains: .
I, [2006-01-03T22:13:22.005590 #26646]  INFO -- :  Empty place: 13,18 contains: .
I, [2006-01-03T22:13:22.005741 #26646]  INFO -- :  Empty place: 51,20 contains: .
I, [2006-01-03T22:13:22.005926 #26646]  INFO -- :  Empty place: 23,3 contains: .
I, [2006-01-03T22:13:22.006051 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:22.006342 #26646]  INFO -- :  Empty place: 54,19 contains: .
I, [2006-01-03T22:13:22.006525 #26646]  INFO -- :  Empty place: 20,2 contains: .
I, [2006-01-03T22:13:22.006710 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:22.007008 #26646]  INFO -- :  Empty place: 12,7 contains: .
I, [2006-01-03T22:13:22.007233 #26646]  INFO -- :  Empty place: 7,18 contains: .
I, [2006-01-03T22:13:22.007532 #26646]  INFO -- :  Empty place: 29,10 contains: .
I, [2006-01-03T22:13:22.007709 #26646]  INFO -- :  Empty place: 30,19 contains: .
I, [2006-01-03T22:13:22.007972 #26646]  INFO -- :  Empty place: 26,19 contains: .
I, [2006-01-03T22:13:22.008203 #26646]  INFO -- :  Empty place: 52,13 contains: .
I, [2006-01-03T22:13:22.008384 #26646]  INFO -- :  Empty place: 29,10 contains: .
I, [2006-01-03T22:13:22.008510 #26646]  INFO -- :  Empty place: 29,5 contains: .
I, [2006-01-03T22:13:22.008671 #26646]  INFO -- :  Empty place: 49,8 contains: .
I, [2006-01-03T22:13:22.008853 #26646]  INFO -- :  Empty place: 31,18 contains: .
I, [2006-01-03T22:13:22.009012 #26646]  INFO -- :  Empty place: 23,5 contains: .
I, [2006-01-03T22:13:22.009228 #26646]  INFO -- :  Empty place: 29,18 contains: .
I, [2006-01-03T22:13:22.013449 #26646]  INFO -- :  Empty place: 16,13 contains: .
I, [2006-01-03T22:13:22.013715 #26646]  INFO -- :  Empty place: 57,19 contains: .
I, [2006-01-03T22:13:22.013870 #26646]  INFO -- :  Empty place: 38,16 contains: .
I, [2006-01-03T22:13:22.014154 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:22.014344 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:22.014508 #26646]  INFO -- :  Empty place: 12,18 contains: .
I, [2006-01-03T22:13:22.014788 #26646]  INFO -- :  Empty place: 49,14 contains: .
I, [2006-01-03T22:13:22.014986 #26646]  INFO -- :  Empty place: 15,12 contains: .
I, [2006-01-03T22:13:22.015188 #26646]  INFO -- :  Empty place: 24,14 contains: .
I, [2006-01-03T22:13:22.015348 #26646]  INFO -- :  Empty place: 49,14 contains: .
I, [2006-01-03T22:13:22.015596 #26646]  INFO -- :  Empty place: 44,7 contains: .
I, [2006-01-03T22:13:22.015767 #26646]  INFO -- :  Empty place: 46,9 contains: .
I, [2006-01-03T22:13:22.016046 #26646]  INFO -- :  Empty place: 30,2 contains: .
I, [2006-01-03T22:13:22.016200 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:22.016344 #26646]  INFO -- :  Empty place: 31,14 contains: .
I, [2006-01-03T22:13:22.016469 #26646]  INFO -- :  Empty place: 13,22 contains: .
I, [2006-01-03T22:13:22.016585 #26646]  INFO -- :  Empty place: 6,9 contains: .
I, [2006-01-03T22:13:22.016810 #26646]  INFO -- :  Empty place: 31,5 contains: .
I, [2006-01-03T22:13:22.017011 #26646]  INFO -- :  Empty place: 8,5 contains: .
I, [2006-01-03T22:13:22.017201 #26646]  INFO -- :  Empty place: 29,17 contains: .
I, [2006-01-03T22:13:22.017488 #26646]  INFO -- :  Empty place: 26,9 contains: .
I, [2006-01-03T22:13:22.017784 #26646]  INFO -- :  Empty place: 12,4 contains: .
I, [2006-01-03T22:13:22.017967 #26646]  INFO -- :  Empty place: 16,7 contains: .
I, [2006-01-03T22:13:22.018174 #26646]  INFO -- :  Empty place: 11,10 contains: .
I, [2006-01-03T22:13:22.018359 #26646]  INFO -- :  Empty place: 10,13 contains: .
I, [2006-01-03T22:13:22.018503 #26646]  INFO -- :  Empty place: 7,18 contains: .
I, [2006-01-03T22:13:22.018756 #26646]  INFO -- :  Empty place: 60,18 contains: .
I, [2006-01-03T22:13:22.019044 #26646]  INFO -- :  Empty place: 12,18 contains: .
I, [2006-01-03T22:13:22.019236 #26646]  INFO -- :  Empty place: 33,14 contains: .
I, [2006-01-03T22:13:22.019366 #26646]  INFO -- :  Empty place: 19,10 contains: .
I, [2006-01-03T22:13:22.019530 #26646]  INFO -- :  Empty place: 19,8 contains: .
I, [2006-01-03T22:13:22.019668 #26646]  INFO -- :  Empty place: 48,17 contains: .
I, [2006-01-03T22:13:22.019813 #26646]  INFO -- :  Empty place: 38,17 contains: .
I, [2006-01-03T22:13:22.019952 #26646]  INFO -- :  Empty place: 23,21 contains: .
I, [2006-01-03T22:13:22.020113 #26646]  INFO -- :  Empty place: 49,9 contains: .
I, [2006-01-03T22:13:22.020296 #26646]  INFO -- :  Empty place: 12,4 contains: .
I, [2006-01-03T22:13:22.020491 #26646]  INFO -- :  Empty place: 14,18 contains: .
I, [2006-01-03T22:13:22.020640 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:22.020760 #26646]  INFO -- :  Empty place: 12,4 contains: .
I, [2006-01-03T22:13:22.020980 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:22.021189 #26646]  INFO -- :  Empty place: 29,10 contains: .
I, [2006-01-03T22:13:22.021384 #26646]  INFO -- :  Empty place: 17,17 contains: .
I, [2006-01-03T22:13:22.021548 #26646]  INFO -- :  Empty place: 5,20 contains: .
I, [2006-01-03T22:13:22.021716 #26646]  INFO -- :  Empty place: 49,8 contains: .
I, [2006-01-03T22:13:22.021925 #26646]  INFO -- :  Empty place: 61,14 contains: .
I, [2006-01-03T22:13:22.022100 #26646]  INFO -- :  Empty place: 34,19 contains: .
I, [2006-01-03T22:13:22.022287 #26646]  INFO -- :  Empty place: 54,21 contains: .
I, [2006-01-03T22:13:22.022457 #26646]  INFO -- :  Empty place: 19,2 contains: .
I, [2006-01-03T22:13:22.022596 #26646]  INFO -- :  Empty place: 18,6 contains: .
I, [2006-01-03T22:13:22.022874 #26646]  INFO -- :  Empty place: 9,9 contains: .
I, [2006-01-03T22:13:22.023062 #26646]  INFO -- :  Empty place: 43,4 contains: .
I, [2006-01-03T22:13:22.023305 #26646]  INFO -- :  Empty place: 42,17 contains: .
I, [2006-01-03T22:13:22.023553 #26646]  INFO -- :  Empty place: 23,4 contains: .
I, [2006-01-03T22:13:22.023814 #26646]  INFO -- :  Empty place: 45,20 contains: .
I, [2006-01-03T22:13:22.023998 #26646]  INFO -- :  Empty place: 11,7 contains: .
I, [2006-01-03T22:13:22.024127 #26646]  INFO -- :  Empty place: 12,18 contains: .
I, [2006-01-03T22:13:22.024393 #26646]  INFO -- :  Empty place: 54,21 contains: .
I, [2006-01-03T22:13:22.024601 #26646]  INFO -- :  Empty place: 60,10 contains: .
I, [2006-01-03T22:13:22.024785 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:22.024946 #26646]  INFO -- :  Empty place: 20,16 contains: .
I, [2006-01-03T22:13:22.025180 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:22.025320 #26646]  INFO -- :  Empty place: 12,10 contains: .
I, [2006-01-03T22:13:22.025599 #26646]  INFO -- :  Empty place: 31,15 contains: .
I, [2006-01-03T22:13:22.025771 #26646]  INFO -- :  Empty place: 60,15 contains: .
I, [2006-01-03T22:13:22.025940 #26646]  INFO -- :  Empty place: 34,16 contains: .
I, [2006-01-03T22:13:22.026219 #26646]  INFO -- :  Empty place: 49,14 contains: .
I, [2006-01-03T22:13:22.026356 #26646]  INFO -- :  Empty place: 14,18 contains: .
I, [2006-01-03T22:13:22.026524 #26646]  INFO -- :  Empty place: 29,9 contains: .
I, [2006-01-03T22:13:22.026654 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:22.026832 #26646]  INFO -- :  Empty place: 57,17 contains: .
I, [2006-01-03T22:13:22.026951 #26646]  INFO -- :  Empty place: 16,2 contains: .
I, [2006-01-03T22:13:22.027164 #26646]  INFO -- :  Empty place: 12,4 contains: .
I, [2006-01-03T22:13:22.027431 #26646]  INFO -- :  Empty place: 34,2 contains: .
I, [2006-01-03T22:13:22.027658 #26646]  INFO -- :  Empty place: 10,17 contains: .
I, [2006-01-03T22:13:22.027813 #26646]  INFO -- :  Empty place: 40,8 contains: .
I, [2006-01-03T22:13:22.028094 #26646]  INFO -- :  Empty place: 46,20 contains: .
I, [2006-01-03T22:13:22.028310 #26646]  INFO -- :  Empty place: 51,17 contains: .
I, [2006-01-03T22:13:22.028514 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:22.028650 #26646]  INFO -- :  Empty place: 31,15 contains: .
I, [2006-01-03T22:13:22.028801 #26646]  INFO -- :  Empty place: 54,20 contains: .
I, [2006-01-03T22:13:22.028984 #26646]  INFO -- :  Empty place: 42,22 contains: .
I, [2006-01-03T22:13:22.029314 #26646]  INFO -- :  Empty place: 52,11 contains: .
I, [2006-01-03T22:13:22.029529 #26646]  INFO -- :  Empty place: 8,7 contains: .
I, [2006-01-03T22:13:22.029755 #26646]  INFO -- :  Empty place: 5,19 contains: .
I, [2006-01-03T22:13:22.029933 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:22.030053 #26646]  INFO -- :  Empty place: 16,6 contains: .
I, [2006-01-03T22:13:22.030195 #26646]  INFO -- :  Empty place: 12,18 contains: .
I, [2006-01-03T22:13:22.030498 #26646]  INFO -- :  Empty place: 18,10 contains: .
I, [2006-01-03T22:13:22.030738 #26646]  INFO -- :  Empty place: 14,12 contains: .
I, [2006-01-03T22:13:22.030910 #26646]  INFO -- :  Empty place: 44,6 contains: .
I, [2006-01-03T22:13:22.031186 #26646]  INFO -- :  Empty place: 19,10 contains: .
I, [2006-01-03T22:13:22.031383 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:22.031577 #26646]  INFO -- :  Empty place: 10,17 contains: .
I, [2006-01-03T22:13:22.031770 #26646]  INFO -- :  Empty place: 25,10 contains: .
I, [2006-01-03T22:13:22.031956 #26646]  INFO -- :  Empty place: 11,13 contains: .
I, [2006-01-03T22:13:22.032130 #26646]  INFO -- :  Empty place: 18,22 contains: .
I, [2006-01-03T22:13:22.032253 #26646]  INFO -- :  Empty place: 12,7 contains: .
I, [2006-01-03T22:13:22.032435 #26646]  INFO -- :  Empty place: 33,19 contains: .
I, [2006-01-03T22:13:22.032720 #26646]  INFO -- :  Empty place: 56,19 contains: .
I, [2006-01-03T22:13:22.032899 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:22.033091 #26646]  INFO -- :  Empty place: 15,12 contains: .
I, [2006-01-03T22:13:22.033236 #26646]  INFO -- :  Empty place: 17,16 contains: .
I, [2006-01-03T22:13:22.033404 #26646]  INFO -- :  Empty place: 44,17 contains: .
I, [2006-01-03T22:13:22.033575 #26646]  INFO -- :  Empty place: 8,5 contains: .
I, [2006-01-03T22:13:22.033720 #26646]  INFO -- :  Empty place: 23,5 contains: .
I, [2006-01-03T22:13:22.034001 #26646]  INFO -- :  Empty place: 20,14 contains: .
I, [2006-01-03T22:13:22.034166 #26646]  INFO -- :  Empty place: 60,18 contains: .
I, [2006-01-03T22:13:22.034545 #26646]  INFO -- :  Empty place: 27,14 contains: .
I, [2006-01-03T22:13:22.034803 #26646]  INFO -- :  Empty place: 33,2 contains: .
I, [2006-01-03T22:13:22.035014 #26646]  INFO -- :  Empty place: 33,6 contains: .
I, [2006-01-03T22:13:22.035220 #26646]  INFO -- :  Empty place: 21,16 contains: .
I, [2006-01-03T22:13:22.035386 #26646]  INFO -- :  Empty place: 32,2 contains: .
I, [2006-01-03T22:13:22.035512 #26646]  INFO -- :  Empty place: 60,18 contains: .
I, [2006-01-03T22:13:22.035635 #26646]  INFO -- :  Empty place: 14,22 contains: .
I, [2006-01-03T22:13:22.035782 #26646]  INFO -- :  Empty place: 16,22 contains: .
I, [2006-01-03T22:13:22.035918 #26646]  INFO -- :  Empty place: 17,4 contains: .
I, [2006-01-03T22:13:22.036071 #26646]  INFO -- :  Empty place: 20,6 contains: .
I, [2006-01-03T22:13:22.036240 #26646]  INFO -- :  Empty place: 12,4 contains: .
I, [2006-01-03T22:13:22.036450 #26646]  INFO -- :  Empty place: 17,22 contains: .
I, [2006-01-03T22:13:22.036580 #26646]  INFO -- :  Empty place: 37,7 contains: .
I, [2006-01-03T22:13:22.036743 #26646]  INFO -- :  Empty place: 49,12 contains: .
I, [2006-01-03T22:13:22.037034 #26646]  INFO -- :  Empty place: 18,8 contains: .
I, [2006-01-03T22:13:22.037279 #26646]  INFO -- :  Empty place: 32,2 contains: .
I, [2006-01-03T22:13:22.037415 #26646]  INFO -- :  Empty place: 7,5 contains: .
I, [2006-01-03T22:13:22.037565 #26646]  INFO -- :  Empty place: 26,2 contains: .
I, [2006-01-03T22:13:22.037783 #26646]  INFO -- :  Empty place: 39,22 contains: .
I, [2006-01-03T22:13:22.038064 #26646]  INFO -- :  Empty place: 34,2 contains: .
I, [2006-01-03T22:13:22.038192 #26646]  INFO -- :  Empty place: 18,4 contains: .
I, [2006-01-03T22:13:22.038338 #26646]  INFO -- :  Empty place: 51,19 contains: .
I, [2006-01-03T22:13:22.038466 #26646]  INFO -- :  Empty place: 15,12 contains: .
I, [2006-01-03T22:13:22.038629 #26646]  INFO -- :  Empty place: 14,12 contains: .
I, [2006-01-03T22:13:22.038784 #26646]  INFO -- :  Empty place: 27,19 contains: .
I, [2006-01-03T22:13:22.039060 #26646]  INFO -- :  Empty place: 32,6 contains: .
I, [2006-01-03T22:13:22.039188 #26646]  INFO -- :  Empty place: 49,17 contains: .
I, [2006-01-03T22:13:22.039354 #26646]  INFO -- :  Empty place: 60,17 contains: .
I, [2006-01-03T22:13:22.039516 #26646]  INFO -- :  Empty place: 49,8 contains: .
I, [2006-01-03T22:13:22.039764 #26646]  INFO -- :  Empty place: 38,14 contains: .
I, [2006-01-03T22:13:22.040046 #26646]  INFO -- :  Empty place: 46,9 contains: .
I, [2006-01-03T22:13:22.040188 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:22.040373 #26646]  INFO -- :  Empty place: 46,9 contains: .
I, [2006-01-03T22:13:22.040496 #26646]  INFO -- :  Empty place: 55,8 contains: .
I, [2006-01-03T22:13:22.040689 #26646]  INFO -- :  Empty place: 18,12 contains: .
I, [2006-01-03T22:13:22.040999 #26646]  INFO -- :  Empty place: 37,22 contains: .
I, [2006-01-03T22:13:22.041231 #26646]  INFO -- :  Empty place: 16,2 contains: .
I, [2006-01-03T22:13:22.041446 #26646]  INFO -- :  Empty place: 44,6 contains: .
I, [2006-01-03T22:13:22.041699 #26646]  INFO -- :  Empty place: 14,14 contains: .
I, [2006-01-03T22:13:22.041835 #26646]  INFO -- :  Empty place: 31,5 contains: .
I, [2006-01-03T22:13:22.042080 #26646]  INFO -- :  Empty place: 38,6 contains: .
I, [2006-01-03T22:13:22.042211 #26646]  INFO -- :  Empty place: 31,14 contains: .
I, [2006-01-03T22:13:22.042389 #26646]  INFO -- :  Empty place: 55,12 contains: .
I, [2006-01-03T22:13:22.042566 #26646]  INFO -- :  Empty place: 26,4 contains: .
I, [2006-01-03T22:13:22.042851 #26646]  INFO -- :  Empty place: 9,10 contains: .
I, [2006-01-03T22:13:22.043016 #26646]  INFO -- :  Empty place: 60,18 contains: .
I, [2006-01-03T22:13:22.043198 #26646]  INFO -- :  Empty place: 18,14 contains: .
I, [2006-01-03T22:13:22.043333 #26646]  INFO -- :  Empty place: 57,19 contains: .
I, [2006-01-03T22:13:22.043493 #26646]  INFO -- :  Empty place: 31,19 contains: .
I, [2006-01-03T22:13:22.043714 #26646]  INFO -- :  Empty place: 59,21 contains: .
I, [2006-01-03T22:13:22.043900 #26646]  INFO -- :  Empty place: 47,4 contains: .
